location,iso_code,date,total_boosters_per_hundred
Timor,TLS,2022-10-17,17.13
Togo,TGO,2022-10-17,1.56
Trinidad and Tobago,TTO,2022-10-17,11.05
Tunisia,TUN,2022-10-17,10.88
Turkey,TUR,2022-10-17,48.73
Uganda,UGA,2022-10-17,0.94
Ukraine,UKR,2022-10-17,1.7
United Arab Emirates,ARE,2022-10-17,54.87
United Kingdom,GBR,2022-10-17,60.01
United States,USA,2022-10-17,41.1
Uruguay,URY,2022-10-17,83.08
Uzbekistan,UZB,2022-10-17,39.07
Vanuatu,VUT,2022-10-17,5.19
Venezuela,VEN,2022-10-17,2.31
Vietnam,VNM,2022-10-17,71.62
Yemen,YEM,2022-10-17,0.1
Zambia,ZMB,2022-10-17,0.17
Zimbabwe,ZWE,2022-10-17,6.46
